model,variant,window_id,test_start,test_end,cagr,sharpe,max_drawdown,turnover,exposure,benchmark_cagr,benchmark_sharpe,excess_cagr_vs_benchmark
baseline_sma_20_100,long_cash,1,2018-01-01,2018-12-31,0.031179166470915787,0.16556217004580587,-0.1922618458345201,2.00796812749004,0.4860557768924303,-0.07096503969418888,-0.17322391331235848,0.10214420616510467
baseline_sma_20_100,long_cash,2,2019-01-01,2019-12-31,0.6241079468912165,2.7389891840834824,-0.09247084422942775,3.0,0.5912698412698413,0.8948706050166833,2.492051275439272,-0.27076265812546674
baseline_sma_20_100,long_cash,3,2020-01-01,2020-12-31,0.6894772934515405,1.8886374829409118,-0.20375644389649505,0.9960474308300394,0.6047430830039525,0.7859406547112093,1.4639959193819447,-0.09646336125966881
baseline_sma_20_100,long_cash,4,2021-01-01,2021-12-31,0.3344647577191717,1.864630617412865,-0.1120048377151851,1.0,0.5277777777777778,0.38586214155926024,1.423750967632067,-0.05139738384008852
baseline_sma_20_100,long_cash,5,2022-01-01,2022-12-31,-0.10967483001919143,-0.9180867828450262,-0.20824976824992836,2.00796812749004,0.17131474103585656,-0.28478985345940067,-0.7980925390216419,0.17511502344020924
baseline_sma_20_100,long_cash,6,2023-01-01,2023-12-31,0.12452177867832437,0.6949801661912425,-0.11308236386401271,3.024,0.364,0.5578778116153658,2.0729493063881717,-0.4333560329370414
baseline_sma_20_100,long_cash,7,2024-01-01,2024-12-31,0.3715259550414398,1.6059766583280828,-0.11749438831392878,1.0,0.6031746031746031,0.35698061945673043,1.2479255086474546,0.014545335584709385
baseline_sma_20_100,long_cash,8,2025-01-01,2025-12-31,0.30081156265695075,1.5704274008739676,-0.05700847543216825,1.008,0.452,0.1206942610401458,0.3867101736586986,0.18011730161680495
baseline_sma_20_100,long_cash,9,2026-01-01,2026-06-08,-0.04041294835118869,-1.0876077236778834,-0.043337573391771245,2.333333333333333,0.07407407407407407,0.2874426413389999,1.0327843316865482,-0.3278555896901886
selected_v2,long_cash,1,2018-01-01,2018-12-31,0.07613579186094754,0.4413259907051123,-0.12634717016851904,6.0239043824701195,0.5179282868525896,-0.07096503969418888,-0.17322391331235848,0.14710083155513642
selected_v2,long_cash,2,2019-01-01,2019-12-31,0.6025189109489573,2.359004457605702,-0.119550562681207,5.0,0.7103174603174603,0.8948706050166833,2.492051275439272,-0.292351694067726
selected_v2,long_cash,3,2020-01-01,2020-12-31,0.6502767827379103,1.9088570382164523,-0.2503532016454679,6.972332015810276,0.6284584980237155,0.7859406547112093,1.4639959193819447,-0.135663871973299
selected_v2,long_cash,4,2021-01-01,2021-12-31,0.21208965461373208,1.2091373036848732,-0.09827044946291852,5.0,0.5476190476190477,0.38586214155926024,1.423750967632067,-0.17377248694552816
selected_v2,long_cash,5,2022-01-01,2022-12-31,-0.033280963175044476,-0.25979554223105333,-0.15873078124296536,6.0239043824701195,0.2788844621513944,-0.28478985345940067,-0.7980925390216419,0.2515088902843562
selected_v2,long_cash,6,2023-01-01,2023-12-31,0.15112374169068477,0.7192514299435918,-0.16470132670572146,7.056,0.572,0.5578778116153658,2.0729493063881717,-0.406754069924681
selected_v2,long_cash,7,2024-01-01,2024-12-31,0.24437860852556037,1.09860516022012,-0.12983600504341974,7.0,0.5515873015873016,0.35698061945673043,1.2479255086474546,-0.11260201093117006
selected_v2,long_cash,8,2025-01-01,2025-12-31,0.20687549625504853,1.0778238268608396,-0.0712369290671746,5.04,0.524,0.1206942610401458,0.3867101736586986,0.08618123521490273
selected_v2,long_cash,9,2026-01-01,2026-06-08,0.36332326543369287,2.1261277847409,-0.043337573391771134,2.333333333333333,0.3425925925925926,0.2874426413389999,1.0327843316865482,0.07588062409469298
selected_v3,long_cash_hysteresis,1,2018-01-01,2018-12-31,0.11631728426997734,0.6323849490783403,-0.0939307584174015,4.01593625498008,0.5657370517928287,-0.07096503969418888,-0.17322391331235848,0.18728232396416622
selected_v3,long_cash_hysteresis,2,2019-01-01,2019-12-31,0.6012299149349822,2.3524424976455336,-0.119550562681207,3.0,0.7142857142857143,0.8948706050166833,2.492051275439272,-0.293640690081701
selected_v3,long_cash_hysteresis,3,2020-01-01,2020-12-31,0.7175177723106867,1.982372719694641,-0.21991526002199668,4.980237154150197,0.6561264822134387,0.7859406547112093,1.4639959193819447,-0.06842288240052263
selected_v3,long_cash_hysteresis,4,2021-01-01,2021-12-31,0.23642931379073406,1.3176624632189424,-0.09827044946291863,5.0,0.5515873015873016,0.38586214155926024,1.423750967632067,-0.14943282776852618
selected_v3,long_cash_hysteresis,5,2022-01-01,2022-12-31,-0.08614697142368355,-0.5822091918626316,-0.1786050976085346,6.0239043824701195,0.3187250996015936,-0.28478985345940067,-0.7980925390216419,0.19864288203571712
selected_v3,long_cash_hysteresis,6,2023-01-01,2023-12-31,0.15369085247663672,0.6738388157109584,-0.23062525599580075,5.04,0.696,0.5578778116153658,2.0729493063881717,-0.40418695913872904
selected_v3,long_cash_hysteresis,7,2024-01-01,2024-12-31,0.21731869432120554,0.9499591726179811,-0.15359395934622555,7.0,0.5674603174603174,0.35698061945673043,1.2479255086474546,-0.1396619251355249
selected_v3,long_cash_hysteresis,8,2025-01-01,2025-12-31,0.23627787036748726,1.126256275626462,-0.09631550050393689,3.024,0.588,0.1206942610401458,0.3867101736586986,0.11558360932734146
selected_v3,long_cash_hysteresis,9,2026-01-01,2026-06-08,0.36332326543369287,2.1261277847409,-0.043337573391771134,2.333333333333333,0.3425925925925926,0.2874426413389999,1.0327843316865482,0.07588062409469298
selected_v4,long_cash_hysteresis,1,2018-01-01,2018-12-31,0.11631728426997734,0.6323849490783403,-0.0939307584174015,4.01593625498008,0.5657370517928287,-0.07096503969418888,-0.17322391331235848,0.18728232396416622
selected_v4,long_cash_hysteresis,2,2019-01-01,2019-12-31,0.6012299149349822,2.3524424976455336,-0.119550562681207,3.0,0.7142857142857143,0.8948706050166833,2.492051275439272,-0.293640690081701
selected_v4,long_cash_hysteresis,3,2020-01-01,2020-12-31,0.7175177723106867,1.982372719694641,-0.21991526002199668,4.980237154150197,0.6561264822134387,0.7859406547112093,1.4639959193819447,-0.06842288240052263
selected_v4,long_cash_hysteresis,4,2021-01-01,2021-12-31,0.23642931379073406,1.3176624632189424,-0.09827044946291863,5.0,0.5515873015873016,0.38586214155926024,1.423750967632067,-0.14943282776852618
selected_v4,long_cash_hysteresis,5,2022-01-01,2022-12-31,-0.08614697142368355,-0.5822091918626316,-0.1786050976085346,6.0239043824701195,0.3187250996015936,-0.28478985345940067,-0.7980925390216419,0.19864288203571712
selected_v4,long_cash_hysteresis,6,2023-01-01,2023-12-31,0.15369085247663672,0.6738388157109584,-0.23062525599580075,5.04,0.696,0.5578778116153658,2.0729493063881717,-0.40418695913872904
selected_v4,long_cash_hysteresis,7,2024-01-01,2024-12-31,0.21731869432120554,0.9499591726179811,-0.15359395934622555,7.0,0.5674603174603174,0.35698061945673043,1.2479255086474546,-0.1396619251355249
selected_v4,long_cash_hysteresis,8,2025-01-01,2025-12-31,0.23627787036748726,1.126256275626462,-0.09631550050393689,3.024,0.588,0.1206942610401458,0.3867101736586986,0.11558360932734146
selected_v4,long_cash_hysteresis,9,2026-01-01,2026-06-08,0.36332326543369287,2.1261277847409,-0.043337573391771134,2.333333333333333,0.3425925925925926,0.2874426413389999,1.0327843316865482,0.07588062409469298
